Country,Kcal per day per capita from Wheat,Total Kcal per day per capita,Log GDP per capita,Wheat produced kg per capita  per year
Afghanistan,1383,2107,2.822435043,116.4061158
Albania,1072,3023,3.605259299,92.89790742
Algeria,1420,3220,3.72077958,67.65881948
Angola,270,2400,3.712585482,0.198216056
Antigua and Barbuda,491,2396,4.105760845,0
Argentina,872,3155,4.041537321,356.0362395
Armenia,1039,2809,3.534232612,75.57354926
Australia,552,3265,4.825251189,1205.311992
Austria,642,3784,4.693100418,211.3127001
Azerbaijan,1573,2952,3.855330384,173.2232123
Bahamas,334,2575,4.327525158,0
Bangladesh,148,2430,2.899493252,6.358676453
Barbados,570,3047,4.184812165,0
Belarus,515,3253,3.800776201,225.6084656
Belgium,851,3793,4.669581556,153.3569547
Belize,483,2757,3.67401176,0
Benin,67,2594,2.872847726,0
Bermuda,619,2765,4.931362821,0
Bolivia,392,2254,3.365414696,17.72568772
Bosnia and Herzegovina,706,3130,3.67684605,54.70174525
Botswana,323,2285,3.886343842,0
Brazil,385,3287,4.099541643,28.89278188
Brunei Darussalam,435,2949,4.613418787,0
Bulgaria,867,2877,3.863424877,607.9367244
Burkina Faso,68,2655,2.807972084,0
Cabo Verde,298,2716,3.589698703,0
Cambodia,19,2411,2.943683991,0
Cameroon,145,2586,3.099235269,0.047267915
Canada,532,"3,419.00",4.712425483,732.4789051
Central African Republic,69,2154,2.697909275,0
Chad,70,2061,2.937060015,0.165562914
Chile,873,2989,4.161745113,91.056159
China,548,3074,3.727955491,83.90957713
"China, Hong Kong SAR",415,3261,4.544685566,0
"China, Macao SAR",399,2865,4.828398684,0
Colombia,250,2593,3.853961433,0.254890716
Congo,316,2195,3.586039414,0
Costa Rica,322,2898,3.937547326,0
Côte d'Ivoire,163,2781,3.093975957,0
Croatia,802,3052,4.155015286,180.8510638
Cuba,374,3277,3.789899151,0
Cyprus,620,2661,4.465505473,22.38137869
Czech Republic,778,3292,4.308818956,463.0100839
Democratic People's Republic of Korea,172,2103,2.804616469,5.156104096
Denmark,597,3363,4.777087773,866.5470852
Djibouti,929,2526,3.164928769,0
Dominica,585,3047,3.841339365,0
Dominican Republic,223,2597,3.737407548,0
Ecuador,303,2477,3.718723468,0.393545848
Egypt,1169,3557,3.464249775,105.8922813
El Salvador,247,2513,3.568031047,0
Estonia,765,3214,4.240909706,278.2071097
Ethiopia,288,2105,2.525047807,32.6200038
Fiji,622,2930,3.635972054,0
Finland,641,3285,4.687265193,180.9241047
France,795,3524,4.627903937,566.1036142
French Polynesia,513,2901,4.442950963,0
Gabon,469,2781,4.182358939,0
Gambia,346,2849,2.716276637,0
Georgia,1164,2731,3.518505314,22.17649749
Germany,664,3539,4.641163093,275.0533821
Ghana,139,3003,3.202496711,0
Greece,863,3433,4.416180279,153.0713194
Grenada,408,2453,3.870784894,0
Guatemala,268,2502,3.510905615,0.611953492
Guinea,126,2553,2.700437258,0
Guinea-Bissau,85,2304,2.751117025,0
Guyana,467,2648,3.512935454,0
Haiti,136,2105,2.826677952,0
Honduras,295,2651,3.357431715,0.128584287
Hungary,705,2968,4.138315317,410.8643457
Iceland,571,3339,4.639623016,0
India,502,2459,3.197218476,71.14078791
Indonesia,169,2713,3.540508987,0
Iran,1189,3058,3.844557981,163.5951421
Iraq,1166,2489,3.628472559,88.230675
Ireland,911,3591,4.698765513,205.3946496
Israel,943,3619,4.509269115,16.17608062
Italy,1033,3539,4.558427998,109.3711406
Jamaica,572,2789,3.719315267,0
Japan,392,2719,4.665680084,5.859298298
Jordan,1200,3149,3.63190989,2.971326697
